timestamp,caller,receiver,duration_seconds,cell_tower
2026-08-08T09:14:00,+91 90000 32741,+91 90000 58126,68,MIDC Industrial Estate
2026-08-10T18:42:00,+91 90000 58126,+91 90000 32741,91,Andheri East
2026-08-14T11:07:00,+91 90000 32741,+91 90000 58126,45,MIDC Industrial Estate
2026-08-18T17:20:00,+91 90000 58126,+91 90000 32741,78,Andheri East
2026-08-21T09:15:00,+91 90000 32741,+91 90000 58126,240,Andheri East
2026-08-21T10:45:00,+91 90000 32741,+91 90000 58126,185,MIDC Industrial Estate
2026-08-21T12:30:00,+91 90000 58126,+91 90000 32741,310,MIDC Industrial Estate
2026-08-21T14:10:00,+91 90000 32741,+91 90000 61483,195,Andheri East
2026-08-21T16:25:00,+91 90000 61483,+91 90000 32741,280,Andheri East
2026-08-21T18:40:00,+91 90000 32741,+91 90000 58126,420,MIDC Industrial Estate
2026-08-21T21:15:00,+91 90000 58126,+91 90000 32741,350,MIDC Industrial Estate
2026-08-21T23:40:00,+91 90000 32741,+91 90000 61483,290,Andheri East
2026-08-22T08:30:00,+91 90000 32741,+91 90000 58126,160,MIDC Industrial Estate
2026-08-22T15:20:00,+91 90000 32741,+91 90000 61483,145,Andheri East
2026-08-23T11:15:00,+91 90000 32741,+91 90000 58126,190,Andheri East
2026-08-23T20:15:00,+91 90000 32741,+91 90000 58126,260,MIDC Industrial Estate
2026-08-23T21:05:00,+91 90000 32741,+91 90000 61483,180,MIDC Industrial Estate
2026-08-23T22:45:00,+91 90000 58126,+91 90000 32741,340,MIDC Industrial Estate
